private_predicate,private_uri,wikidata_property,property_label,property_description,confidence,matched,match_reason
acclaim,http://example.org/webdatamining/property/acclaim,,,,0.3,False,"search_token,description_overlap"
accuse,http://example.org/webdatamining/property/accuse,,,,0.3,False,"search_token,description_overlap"
adapt,http://example.org/webdatamining/property/adapt,,,,0.3,False,"search_token,description_overlap"
adopt,http://example.org/webdatamining/property/adopt,,,,0.0,False,weak_match
allow,http://example.org/webdatamining/property/allow,,,,0.0,False,weak_match
announce,http://example.org/webdatamining/property/announce,,,,0.3,False,"search_token,description_overlap"
attack,http://example.org/webdatamining/property/attack,,,,0.0,False,weak_match
attend,http://example.org/webdatamining/property/attend,,,,0.2,False,search_token
attribute,http://example.org/webdatamining/property/attribute,,,,0.65,False,"token_overlap,search_token,description_overlap"
be,http://example.org/webdatamining/property/be,,,,0.0,False,no_meaningful_tokens
bear_on,http://example.org/webdatamining/property/bearOn,,,,0.3,False,"search_token,description_overlap"
become,http://example.org/webdatamining/property/become,,,,0.0,False,weak_match
begin,http://example.org/webdatamining/property/begin,,,,0.0,False,weak_match
begin_in,http://example.org/webdatamining/property/beginIn,,,,0.0,False,weak_match
blame,http://example.org/webdatamining/property/blame,,,,0.0,False,weak_match
bring,http://example.org/webdatamining/property/bring,,,,0.0,False,weak_match
broadcast,http://example.org/webdatamining/property/broadcast,,,,0.65,False,"token_overlap,search_token,description_overlap"
broadcast_on,http://example.org/webdatamining/property/broadcastOn,,,,0.475,False,"token_overlap,search_token,description_overlap"
call,http://example.org/webdatamining/property/call,,,,0.55,False,"token_overlap,search_token"
cast,http://example.org/webdatamining/property/cast,,,,0.65,False,"token_overlap,search_token,description_overlap"
cause,http://example.org/webdatamining/property/cause,,,,0.65,False,"token_overlap,search_token,description_overlap"
center,http://example.org/webdatamining/property/center,,,,0.65,False,"token_overlap,search_token,description_overlap"
choose,http://example.org/webdatamining/property/choose,,,,0.0,False,weak_match
claim,http://example.org/webdatamining/property/claim,,,,0.3,False,"search_token,description_overlap"
collaborate,http://example.org/webdatamining/property/collaborate,,,,0.0,False,weak_match
come,http://example.org/webdatamining/property/come,,,,0.3,False,"search_token,description_overlap"
conclude,http://example.org/webdatamining/property/conclude,,,,0.0,False,weak_match
confess,http://example.org/webdatamining/property/confess,,,,0.0,False,weak_match
confess_to,http://example.org/webdatamining/property/confessTo,,,,0.0,False,weak_match
credit,http://example.org/webdatamining/property/credit,,,,0.65,False,"token_overlap,search_token,description_overlap"
criticize,http://example.org/webdatamining/property/criticize,,,,0.0,False,weak_match
culminate,http://example.org/webdatamining/property/culminate,,,,0.0,False,weak_match
depict,http://example.org/webdatamining/property/depict,,,,0.3,False,"search_token,description_overlap"
direct,http://example.org/webdatamining/property/direct,,,,0.55,False,"token_overlap,search_token"
divorce,http://example.org/webdatamining/property/divorce,,,,0.0,False,weak_match
do,http://example.org/webdatamining/property/do,,,,0.0,False,no_meaningful_tokens
